0#0,"""Powew I"""
1#0,"""Powew II"""
2#0,"""Powew III"""
3#0,"""Powew IV"""
4#0,"""Powew V"""
5#0,"""Shoot I"""
6#0,"""Shoot II"""
7#0,"""Shoot III"""
8#0,"""Shoot IV"""
9#0,"""Shoot V"""
10#0,"""Technique I"""
11#0,"""Technique II"""
12#0,"""Technique III"""
13#0,"""Technique IV"""
14#0,"""Technique V"""
15#0,"""Awm I"""
16#0,"""Awm II"""
17#0,"""Awm III"""
18#0,"""Awm IV"""
19#0,"""Awm V"""
20#0,"""Body I"""
21#0,"""Body II"""
22#0,"""Body III"""
23#0,"""Body IV"""
24#0,"""Body V"""
25#0,"""Weact I"""
26#0,"""Weact II"""
27#0,"""Weact III"""
28#0,"""Weact IV"""
29#0,"""Weact V"""
30#0,"""Mind I"""
31#0,"""Mind II"""
32#0,"""Mind III"""
33#0,"""Mind IV"""
34#0,"""Mind V"""
35#0,"""Abiwity I"""
36#0,"""Abiwity II"""
37#0,"""Abiwity III"""
38#0,"""Abiwity IV"""
39#0,"""Abiwity V"""
40#0,"""Stamina I"""
41#0,"""Stamina II"""
42#0,"""Stamina III"""
43#0,"""Stamina IV"""
44#0,"""Stamina V"""
45#0,"""Spiwita I"""
46#0,"""Spiwita II"""
47#0,"""Spiwita III"""
48#0,"""Spiwita IV"""
49#0,"""Spiwita V"""
50#0,"""Powew Boost"""
51#0,"""Shooting Boost"""
52#0,"""Technique Boost"""
53#0,"""Stamina Boost"""
54#0,"""Spiwita Boost"""
55#0,"""Gwana Souw"""
56#0,"""Wagne Souw"""
57#0,"""Wowga Souw"""
58#0,"""Ewdew Souw"""
59#0,"""Signo Souw"""
60#0,"""Mizew Souw"""
61#0,"""Vawdha Souw"""
62#0,"""Catew Souw"""
63#0,"""Vow Souw"""
64#0,"""Quawtz Souw"""
65#0,"""Wockbeaw Souw"""
66#0,"""Mawmo Souw"""
67#0,"""Fang Souw"""
68#0,"""Snow Souw"""
69#0,"""Wappy Souw"""
70#0,"""Moduwatow"""
71#0,"""Mutation I"""
72#0,"""Vincuwum"""
73#0,"""Wa'nsa Souw"""
74#0,"""Stigma"""
75#0,"""Photon Cowwect"""
76#0,"""Shwayda Souw"""
77#0,"""Chwome Souw"""
78#0,"""Gowon Souw"""
79#0,"""Ex Souw"""
