Title#0,"""Quest Countew"""
TitleCampship#0,"""Quest Countew Tewminaw"""
HelpNon#0,"""<c f0df60>Please wait.<c>"""
HelpTopMenu#0,"""<c f0df60>Please choose a quest from the list, or a quest you wish to find a party for.<c>"""
HelpTypeSelect#0,"""<c f0df60>Select a quest. The Daily Boost grants the same effects as a Tri-Boost.<c>"""
HelpQuestSelect#0,"""<c f0df60>Select your desired quest.<c>"""
HelpQuestSelect_Vita#0,"""<c f0df60>受注したいクエストを選択してください。<c><c ff4f3f>クエストブースト中は<c><%MultiSelect><c><c ff4f3f>ボタンで詳細を確認できます。<c>"""
HelpQuestSelect_DailyOrder#0,"""<c f0df60>When you clear a Featured Quest with an A-rank or higher, you have a chance to receive a Bonus Key.<c>"""
HelpRankSelect#0,"""<c f0df60>Select your desired quest rank.<c>"""
HelpPartySelect#0,"""<c f0df60>Select a party to join.<c>"""
HelpRecordSelect#0,"""<c f0df60>You can check the records from this quest, such as enemy appearance rates and item drops.<c>"""
HelpOrderSelect#0,"""<c f0df60>Please select the client orders you wish to undertake.<c>"""
HelpEpisodeSelect#0,"""<c f0df60>Please select an episode.<c>"""
HelpBasnetGradeSelect#0,"""<c f0df60>Select your desired Grade.<c>"""
ReceiverPC#0,"""・“PC” ログイン証"""
ReceiverVITA#0,"""・“PS Vita” ログイン証"""
OtherBlock#0,"""Othew Bwocks"""
BoostRate#0,"""+$(0)%"""
TitleNon#0,"""Unknown Ewwow"""
AttentionNon#0,"""Unknown error.<br><br>Error code [3007]"""
TitleCancelQuest#0,"""-"""
AttentionCancelQuest#0,"""-"""
None#0,"""Unknown error.<br><br>Error code [3000]"""
NotReceptQuestPartyGuest#0,"""Onwy pawty weadew can stawt quests."""
NotReceptQuestAlreadyQuest#0,"""Because you are not the party leader, you cannot start a quest.<br>(The quest has already begun, please head to the departure gate as soon as possible.)"""
NotFoundQuestSearch#0,"""Quest wequiwements not found."""
NotFoundRoomSearch#0,"""Woom conditions not found."""
NotFoundPartyList#0,"""No pawties found."""
NotFoundQuestType#0,"""No quests that can be accepted."""
NotFoundQuestList#0,"""No quests that can be accepted."""
NotFoundFreeFieldQuest#0,"""You haven't started a quest.<br><br>To start a quest, you will<br>need to visit a quest counter<br>and start a quest."""
NotFoundQuestRecord#0,"""No quest wecowds."""
CantStartQuestNotFoundRoom#0,"""Cannot stawt quest, tawget woom cannot be found."""
CantStartQuestCapacityOverRoom#0,"""Couwd not join woom, woom wimit awweady met."""
CantStartQuestCapacityOverRoom2#0,"""You cannot participate because the room is currently full.<br>The number of players also includes players currently in the process of joining,<br>but may not be reflected in the number of party members.<br><br><yellow>※Since the quest participation ends soon,<br>by attempting to join again quickly, you may<br>be able to participate.<c>"""
CantStartQuestNewRaidQuest#0,"""Because defeating enemies is not the primary objective,<br>you cannot complete client orders in this quest."""
CantStartQuestNewNetCafeQuest#0,"""Could not start quest.<br>One or more party members do not have <br>NetCafe Premium."""
CantStartQuestNotNotFoundParty#0,"""Because the target party could not be found,<br>the quest could not be started."""
CantStartQuestCapacityOverParty#0,"""Pawty count wimit exceeded, couwd not join."""
CantStartQuestDifferencePasswordParty#0,"""Incowwect passwowd, couwd not join."""
CantStartQuestAlreadyFinished#0,"""Could not join, <br>party's quest already complete."""
CantStartQuestClearCountLimit#0,"""One or more party members have <br>exceeded the quest clear limit<br>for this quest. Could not accept quest."""
CantStartQuestJustAfterRareEnemyTrigger#0,"""Immediately after using a rare enemy trigger,<br>you cannot start new quests.<br>Please wait a bit and try again.<br><br>※When you start a new quest,<br>items used to start trigger quests<br>will be discarded.<c>"""
CantStartQuestJustAfterQuestTrigger#0,"""Immediately after using a quest trigger,<br>you cannot start new quests.<br>Please wait a bit and try again.<br><br>※When you start a new quest,<br>items used to start trigger quests<br>will be discarded.<c>"""
CantStartQuestTriggerErrorOccurred#0,"""Because a processing error occurred, the<br>target quest could not be started.<br>Please wait a bit and try again."""
CantStartQuestTriggerErrorUseItem#0,"""Could not use the quest trigger.<br>Please wait a bit and try again."""
TitielCantStartQuestTriggerReorderTimeOut#0,"""The possibwe use time has expiwed."""
CantStartQuestTriggerReorderTimeOut#0,"""Because the possible use time has expired,<br>the trigger quest cannot be started."""
CautionNotSoloParty#0,"""Cannot change block while<br>part of a party."""
CantStartQuestDifferenceCondition#0,"""You do not meet the requirements<br>to join this party."""
CantStartQuestDifferenceConditionLine1#0,"""You cannot join the party or accept<br>this quest for the following reason:<br><br>・$(0)"""
CantStartQuestDifferenceConditionLine2#0,"""You cannot join the party or accept<br>this quest for the following reasons:<br><br>・$(0)<br>・$(1)"""
CantStartQuestDifferenceConditionLine3#0,"""You cannot join the party or accept<br>this quest for the following reasons:<br><br>・$(0)<br>・$(1)<br>・$(2)"""
CantStartQuestDifferenceConditionLine4#0,"""You cannot join the party or accept<br>this quest for the following reasons:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)"""
CantStartQuestDifferenceConditionLine5#0,"""You cannot join the party or accept<br>this quest for the following reasons:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)"""
CantStartQuestDifferenceConditionLine6#0,"""You cannot join the party or accept<br>this quest for the following reasons:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)"""
CantStartQuestDifferenceConditionLine7#0,"""You cannot join the party or accept<br>this quest for the following reasons:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)"""
CantStartQuestDifferenceConditionLine8#0,"""You cannot join the party or accept<br>this quest for the following reasons:<br><br>・$(0)<br>・$(1)<br>・$(2)<br>・$(3)<br>・$(4)<br>・$(5)<br>・$(6)<br>・$(7)"""
QuestLevel#0,"""<pict mainclass_icon>Lv.$(0)～"""
QuestSubLevel#0,"""<pict subclass_icon>Lv.$(0)～"""
PartyLevel#0,"""Pawty wevew wequiwement/Lv.$(1)～$(0)"""
FriendOnly#0,"""Fwiends Onwy"""
GuildOnly#0,"""Team Membews Onwy"""
PasswordNG#0,"""Incowwect passwowd"""
BurstIntoNG#0,"""The abiwity to join has been wimited by the Quest."""
ReasonEventFlag#0,"""Speciaw Cwitewia"""
RareAreaNG#0,"""The pawty is in a speciaw awea."""
CantStartQuestTimeLimitOver#0,"""The time wimit to stawt the Quest has expiwed."""
CapacityOverParty#0,"""Pawty capacity weached"""
PlatformError#0,"""Pwatfowm Ewwow"""
RaidQuestDisable#0,"""Did not defeat wequiwed enemies."""
ClearCountLimit#0,"""Suwpassed maximum cweaw count."""
BasnetOrderNumZeroMembers#0,"""Some membews have a Match Stamina count at 0."""
BasnetProperGradeError#0,"""You couwd not join because the woom is a diffewent gwade."""
BasnetSupportGradeError#0,"""You cannot pawticipate in a woom of this gwade."""
BasnetNotLimitedMatchRoom#0,"""Main Match: This is not an advanced woom."""
BasnetOrderNumZeroSelf#0,"""Youw Match Stamina count is at 0."""
TrainingBlockChallenge#0,"""You cannot accept orders in the Challenge Block<br>ARKS Training Center."""
TrainingBlockQuestUnlock#0,"""You cannot enter the Challenge Block<br>ARKS Training Center until you complete<br>the ARKS Quest [Subdue Fangulf]."""
NotHaveQuestTrigger#0,"""Because you have no Quest Triggers, <br>you cannot activate a Trigger Quest."""
TriggerQuestBlockChallenge#0,"""Trigger Quests cannot be accepted <br>on Challenge Blocks."""
CantStartQuestIgnoreQuest#0,"""This quest cannot be started now.<br>Please check the player site for details."""
IgnoreQuest#0,"""This quest cannot be started now.<br>Please check the player site for details."""
QuestDropPenalty#0,"""An [Abandonew Penawty] has been imposed upon one ow mowe pawty membews."""
CantStartQuestDropPenalty#0,"""You cannot join the party or<br>accept the quest for the following reason.<br><br>・[Abandoner Penalty] has been imposed upon a party member."""
CantStartQuestOutExtraQuest#0,"""The campaign period for this quest has ended.<br>Please accept the quest again."""
CantStartQuestInExtraQuest#0,"""The campaign period for this quest is active.<br>Please accept the quest again."""
TitleTraining#0,"""Pway Twaining Quest"""
