Coin#0,"""Casino Coins"""
TitleCongest#0,"""Casino Awea Congestion"""
Congest_Name_SlotRappy#0,"""Wappy Swots"""
Congest_Name_Shooter#0,"""Mesetan Shootew"""
Congest_Name_SlotArkuma#0,"""Awkuma Swots"""
Congest_Name_Roulette#0,"""Wii Wii Wouwette"""
Congest_Name_Blackjack#0,"""Bwack Nyack"""
Congest_Empty#0,"""Empty"""
Congest_Full#0,"""Fuww"""
Congest_Over#0,"""Congested"""
Congest_Loading#0,"""Woading"""
Congest_Failure#0,"""Unknown"""
ContentInfo#0,"""Content Infowmation"""
ContentInfo_Nothing#0,"""None"""
ContentMenu_None#0,"""Communicating..."""
WindowTitle#0,"""Message"""
ComeInMessage#0,"""Casino Coins have been deposited into youw inventowy."""
ComeInMessage2#0,"""You have $(0) <pict AmusementCoin>."""
ComeOutMessage#0,"""Casino Coins have been deposited into stowage."""
ComeOutWarning#0,"""Casino Coin stowage is fuww. Eithew exchange some fow pwizes, ow wemuv the wimit in the AC Shop."""
ComeOutBetsCancel#0,"""Bets cancewwed."""
PossessNum#0,"""You have """
Back#0,"""Wetuwn"""
Message#0,"""Message"""
Yes#0,"""Yes"""
No#0,"""No"""
Close#0,"""Cwose"""
Decide#0,"""Confiwm"""
Cancel#0,"""Cancew"""
BigHitShooter#0,"""$(0) did something amazing in Mesetan Shootew!"""
BigHitSlotRappy#0,"""$(0) did something amazing in the Wappy Swots!"""
BigHitSlotRappyJP#0,"""$(0) got the jackpot in the Wappy Swots!"""
BigHitCard#0,"""$(0) got a Bwack Nyack!"""
BigHitRoulette#0,"""$(0) won big pwaying the Wii Wii Wouwette!"""
BigHitSlotArkuma#0,"""$(0) won the jackpot in Awkuma Swots!"""
BoostCampaignTitle#0,"""Boost Campaign Info"""
SuperBoostCampaignTitle#0,"""Supew Boost Campaign Info"""
ContentsProhibitMessage#0,"""This content can't be used."""
PrizeExchangeTitleMenu#0,"""Shop Menu"""
PrizeExchangeInfo#0,"""Pwize Exchange Countew Infowmation"""
PrizeExchangeNo#0,"""Numbew of exchanges"""
PrizeExchangeNoInfo#0,"""Wimit wesets Wednesday 13:00JST"""
PrizeExchangeNoInfoVITA#0,"""Wimit wesets Wednesday 13:00JST"""
PrizeExchangeTitle#0,"""Pwize Exchange Countew"""
PrizeExchangeHead#0,"""<c f0df60>You can exchange coins for prizes.<c>"""
PrizeExchangeHead_1#0,"""<c f0df60>You can exchange prizes for coins an unlimited number of times.<c>"""
PrizeExchangeHead_2#0,"""<c f0df60>You can exchange prizes for coins a limited number of times.<c>"""
PrizeExchangeHeadExit#0,"""<c f0df60>Leave the prize exchange counter.<c>"""
PrizeExchangeHeadSelect_1#0,"""<c f0df60>By trading coins, you can exchange them for prizes. Please select a prize.<c>"""
PrizeExchangeHeadSelect_2#0,"""<c f0df60>Select a prize. (Exchange quantities are limited per week, but reset each Wednesday at 13:00 JST.)<c>"""
PrizeExchangeContents#0,"""Pwize Exchange Countew Menu"""
PrizeExchangeMenu_1#0,"""Nowmaw Pwizes"""
PrizeExchangeMenu_2#0,"""Wimited Pwizes"""
PrizeExchangeMenuExit#0,"""Weave the Countew"""
PrizeExchangeList#0,"""Pwize Wist"""
PrizeExchangeTotalCoin#0,"""Totaw Coins"""
PrizeExchangeItemPack#0,"""Item Pack"""
PrizeExchangeExchange#0,"""Exchange"""
PrizeExchangeSort#0,"""Defauwt Sowt"""
PrizeExchangeDetails#0,"""Item Detaiws"""
PrizeExchangeRadioButton#0,"""Can Equip"""
simpleinput#0,"""<pict Sign_SQUARE>Simple Input"""
PrizeExchangeCoin#0,"""$(0) <pict AmusementCoin>"""
PrizeExchangeCoinRed#0,"""<red>$(0)<c><pict AmusementCoin>"""
ExchangeCheckTitle#0,"""Exchange Confiwmation"""
ExchangeCheckMessage#0,"""This will exchange $(0)<pict AmusementCoin> for the following items.<br>Continue?<br>"""
ExchangeLimitCheckMessage#0,"""This will exchange $(0)<pict AmusementCoin> for the following items.<br>Continue?<br>(The limit on exchanges is reset every Wednesday at 13:00JST)"""
PreExchangeLimitMessage#0,"""The prizes you've selected exceed your current limit.<br>Please select other prizes or come back later.<br>(The limit on exchanges is reset every Wednesday at 13:00JST)"""
ExchangeLimitMessage#0,"""You've weached youw wimit of exchanges, so the exchange faiwed."""
ExchangeCancelTitle#0,"""Cancewwed Twade"""
