Title#0,"""Pawtnew Status"""
Status_Character#0,"""Natuwe"""
Status_Action#0,"""Twait"""
Status_Title#0,"""Incwination"""
Status_Comment#0,"""Comment"""
Title_PaperDoll#0,"""Chawactew Appeawance"""
Support_Status_Character#0,"""Pewsonawity"""
Title#1,"""Fwiend Pawtnew Wegistwation"""
Register_Class#0,"""Cuwwent Cwass"""
Register_Name#0,"""Fwiend Pawtnew Name"""
Register_Attack#0,"""Natuwe"""
Register_Ai#0,"""Twait"""
Register_Sp#0,"""Incwination"""
Register_Message#0,"""Message"""
Error#0,"""Ewwow Message"""
Register_M#0,"""Fwee Pawtnew Wegistwation"""
Register_M_C#0,"""Awwow pwayews othew than fwiends to use"""
Squire_Sort1#0,"""Defauwt Sowt"""
Squire_Sort2#0,"""Sowt by Name"""
Squire_Sort3#0,"""By Wevew"""
Squire_Sort4#0,"""Fwiendship"""
Squire_Sort5#0,"""Gwoup Owdew"""
Squire_Tab1#0,"""Pawtnew"""
Squire_Tab2#0,"""Fwiend"""
Squire_Tab3#0,"""Suppowt"""
Squire_Tab4#0,"""Fwee"""
Squire_FUN#0,"""Vawid fow FUN"""
Title#2,"""Pawtnew Wist"""
HelpText#0,"""<c f0df60>Select a quest partner. Friend/Support/Free partners will not be subject to Client Order failures.<c>"""
SquireMenu_Item1#0,"""Invite to Pawty"""
SquireMenu_Item2#0,"""View Status"""
SquireMenu_Item3#0,"""Wetuwn"""
SquireMenu_Item4#0,"""Change Pawtnew"""
ErrorExsit#0,"""Anothew pwayew in the quest has awweady cawwed $(0)."""
EmptyText#0,"""No wegistewed pawtnews"""
MenuItemHint#0,"""$(0)"""
NotCalls#0,"""You cannot caww $(0) wight now."""
AllApcReturn#0,"""Wecaww Aww Summoned Pawtnews"""
Message#0,"""Do you weawwy wish to wecaww evewyone?"""
Message2#0,"""$(0) will be recalled,<br>and $(1) will join the party.<br><br>Continue?"""
Title2#0,"""Pawtnew Wecaww"""
Title3#0,"""Pawtnew Switch"""
