CardSelect_Title#0,"""AWKS Woad"""
CardSelect_Cancel#0,"""Wetuwn"""
CardSelect_None#0,"""No Cawd"""
CardSelect_Set#0,"""Set"""
CardSelect_Detail#0,"""Cawd Detaiws"""
CardSelect_Decide#0,"""Cawd changed."""
CardReward1_Title#0,"""Wewawd Meseta and EXP"""
CardReward1_Meseta_Title#0,"""Wewawd Meseta"""
CardReward1_Exp_Title#0,"""Wewawd EXP"""
CardReward1_Meseta#0,"""$(0)"""
CardReward1_Exp#0,"""EXP\u3000$(0)"""
CardReward2_Title#0,"""Item Wewawd"""
CardTarget_Title#0,"""Conditions"""
Clear#0,"""Cweawed the AWKS Woad objective."""
Clear_Stamp#0,"""Cweawed [$(0)]."""
Complete#0,"""Weceived wewawd fow compweting $(0)."""
GetCard#0,"""Weceived a new AWKS Woad cawd."""
