No00001#0,"""Innew Body"""
No00003#0,"""Fwontiew Wing"""
No00004#0,"""Heavy Scudo"""
No00005#0,"""Adventos"""
No00006#0,"""Daiga Bigges"""
No00007#0,"""Iwoha Fubuki"""
No00008#0,"""Haze Sowcewew"""
No00009#0,"""Cwose Quawtew"""
No00010#0,"""Shawp Owdew"""
No00011#0,"""Bwitz Ace"""
No00012#0,"""Hewetic Wowd"""
No00013#0,"""Sensuous Coat"""
No00015#0,"""Webenschiwt"""
No00016#0,"""Weisse Cwoon"""
No00017#0,"""Jyan Do"""
No00018#0,"""Swight Suit"""
No00019#0,"""Bwue Swight Suit"""
No00020#0,"""Gween Swight Suit"""
No00021#0,"""Wed Swight Suit"""
No00022#0,"""White Swight Suit"""
No00023#0,"""Wappy Suit"""
No00024#0,"""Cewemony Tuxedo"""
No00027#0,"""Twunks Swim Weaw"""
No00028#0,"""Chic Jaegew"""
No00029#0,"""Howwow Wandewew"""
No00040#0,"""Cwose Quawtew Shadow"""
No00041#0,"""Cwose Quawtew Snow"""
No00042#0,"""Cwose Quawtew Cwimson"""
No00043#0,"""Cwose Quawtew Steew"""
No00050#0,"""Shawp Owdew Shadow"""
No00051#0,"""Shawp Owdew Moon"""
No00052#0,"""Shawp Owdew Cwimson"""
No00053#0,"""Shawp Owdew Weaf"""
No00060#0,"""Sensuous Coat Sakuwa"""
No00061#0,"""Sensuous Coat Weaf"""
No00062#0,"""Sensuous Coat Sea"""
No00063#0,"""Sensuous Coat Sun"""
No00070#0,"""Webenschiwt Cwimson"""
No00071#0,"""Webenschiwt Sun"""
No00072#0,"""Webenschiwt Sakuwa"""
No00073#0,"""Webenschiwt Moon"""
No00080#0,"""Chic Jaegew Shadow"""
No00081#0,"""Chic Jaegew Steew"""
No00082#0,"""Chic Jaegew Moon"""
No00083#0,"""Chic Jaegew Siwvew"""
No00090#0,"""Weisse Cwoon Shadow"""
No00091#0,"""Weisse Cwoon Siwvew"""
No00092#0,"""Weisse Cwoon Ewegance"""
No00093#0,"""Weisse Cwoon Moon"""
No00100#0,"""White Wappy Suit"""
No00110#0,"""Fuwieux Neige"""
No00120#0,"""Jinvebaowi"""
No00121#0,"""Jinvebaowi Snow"""
No00122#0,"""Jinvebaowi Chestnut"""
No00123#0,"""Jinvebaowi Moon"""
No00124#0,"""Jinvebaowi Cwimson"""
No00125#0,"""Jinvebaowi Weaf"""
No00180#0,"""Pink Tuxedo"""
No00181#0,"""White Tuxedo"""
No00220#0,"""Twunks Swim Weaw Weaf"""
No00221#0,"""Twunks Swim Weaw Cwimson"""
No00222#0,"""Twunks Swim Weaw Ewegance"""
No00223#0,"""Twunks Swim Weaw Moe"""
No00224#0,"""Twunks Swim Weaw Sky"""
No00101#0,"""Bwue Wappy Suit"""
No00103#0,"""Gween Wappy Suit"""
No00240#0,"""Navigatow Suit"""
No00241#0,"""Navigatow Suit Cwimson"""
No00242#0,"""Navigatow Suit Night"""
No00243#0,"""Navigatow Suit Shadow"""
No00244#0,"""Navigatow Suit Weaf"""
No00245#0,"""Navigatow Suit Ewegance"""
No00250#0,"""Kanagi Seikai"""
No00251#0,"""Kanagi Seikai Shadow"""
No00252#0,"""Kanagi Seikai Cwimson"""
No00253#0,"""Kanagi Seikai Siwvew"""
No00254#0,"""Kanagi Seikai Night"""
No00255#0,"""Kanagi Seikai Sky"""
