Sequence_RaceSex#0,"""Chawactew Cweation"""
Sequence_Class#0,"""Chawactew Cweation"""
Sequence_DefaultLooks#0,"""Chawactew Cweation"""
Sequence_LooksEdit#0,"""Chawactew Cweation"""
Sequence_NameEntry#0,"""Chawactew Cweation"""
Sequence_Confirm#0,"""Chawactew Cweation"""
SequenceHint_RaceSex#0,"""Sewect wace and sex"""
SequenceHint_Class#0,"""Choose stawting cwass"""
SequenceHint_DefaultLooks#0,"""Choose a basic appeawance"""
SequenceHint_LooksEdit#0,"""Edit appeawance detaiws"""
SequenceHint_NameEntry#0,"""Input chawactew name"""
SequenceHint_Confirm#0,"""Confiwm appeawance detaiws"""
SequenceHint_SavePreset#0,"""Cweate and save chawactew"""
HumanMale#0,"""<c f0df60>Select a race and gender.<c>"""
NewmanMale#0,"""<c f0df60>Select a race and gender.<c>"""
CastMale#0,"""<c f0df60>Select a race and gender.<c>"""
DewmanMale#0,"""<c f0df60>Select a race and gender.<c>"""
HumanFemale#0,"""<c f0df60>Select a race and gender.<c>"""
NewmanFemale#0,"""<c f0df60>Select a race and gender.<c>"""
CastFemale#0,"""<c f0df60>Select a race and gender.<c>"""
DewmanFemale#0,"""<c f0df60>Select a race and gender.<c>"""
Input#0,"""Mouse uvw an option to view infowmation, ow confiwm to go to the next scween."""
HumanMaleExplanation#0,"""[Human Male]<br>Balanced abilities allow high adaptability in any environment.<br>Capable in the use of striking weapons, firearms, and<br>Techniques, allowing him to adapt to any class."""
NewmanMaleExplanation#0,"""[Newman Male]<br>Heavily adapted towards the handling of photons.<br>Physically frail, but unmatched by any other race<br>at the Force class."""
CastMaleExplanation#0,"""[Cast Male]<br>Machine-made, machine tough.<br>Due to artificial nature, has very weak photon sensitivity,<br>but can achieve unparalleled heights in physical strength."""
DewmanMaleExplanation#0,"""[Dewman Male]<br>A human-based race created from photon research.<br>They are characterized by a horn on their forehead and a specialization in photon attacks. Inferior to the other races defense-wise, they make up for that shortcoming with excessive attack power."""
HumanFemaleExplanation#0,"""[Human Female]<br>Balanced abilities allow high adaptability in any environment.<br>Physically tough and capable of utilizing photons,<br>is rich in versatility and can fit any class."""
NewmanFemaleExplanation#0,"""[Newman Female]<br>Heavily adapted towards the handling of photons.<br>Dainty and frail, but shows great ability at the<br>Force class."""
CastFemaleExplanation#0,"""[Cast Female]<br>Machine-made, machine tough.<br>Shows great potential in both close-range and<br>firearm-based combat, but is poor at utilizing photons."""
DewmanFemaleExplanation#0,"""[Dewman Female]<br>A human-based race created from photon research.<br>Characterized by a pair of horns on their forehead, they specialize in photon-oriented attacks. Their defense leaves something to be desired, but they make incredible superior attackers."""
Confirm#0,"""Are you sure you wish to cancel and<br>return to the title screen?"""
Confirm_offline#0,"""Are you sure you wish to cancel and<br>return to the title screen?"""
MenuName#0,"""Wace/Sex Sewection"""
Hunter#0,"""<c f0df60>Select a class.<c>"""
Ranger#0,"""<c f0df60>Select a class.<c>"""
Force#0,"""<c f0df60>Select a class.<c>"""
Braver#0,"""<c f0df60>Select a class.<c>"""
Bouncer#0,"""<c f0df60>Select a class.<c>"""
Summoner#0,"""<c f0df60>Select a class.<c>"""
Input#1,"""Mouse uvw an option to view infowmation, ow confiwm to go to the next scween."""
HunterExplanation#0,"""[Hunter]<br>Close-range fighters.<br>High HP, Defense, and Melee Attack."""
RangerExplanation#0,"""[Ranger]<br>Utilizes ranged weapons to fight at mid-range.<br>High proficiency at all shooting abilities,<br>including precision attacks."""
ForceExplanation#0,"""[Force]<br>Long-ranged combat class focused on casting Techniques.<br>Powerful and versatile at the use of Techniques,<br>but can be strengthened by equipping a Teching weapon."""
BraverExplanation#0,"""[Braver]<br>A class that uses weapons suited towards a<br>fighting style focused on timing and distance, a balance between short and long range."""
BouncerExplanation#0,"""[Bouncer]<br>A class capable not only of melee combat, but<br>Technique use as well. Their true worth lies in<br>supporting many people in combat."""
SummonerExplanation#0,"""[Summoner]<br>A class that can summon a pet and battle at mid-range by issuing it commands. Through the skillful use of a pet raised with various traits, Summoners demonstrate diverse powers allowing them to respond to many situations."""
MenuName#1,"""Sewect cwass"""
HumanMaleHunter0#0,"""Human (M) Huntew 01"""
HumanMaleHunter1#0,"""Human (M) Huntew 02"""
HumanMaleHunter2#0,"""Human (M) Huntew 03"""
HumanMaleHunter3#0,"""Human (M) Huntew 04"""
HumanMaleHunter4#0,"""Human (M) Huntew 05"""
HumanMaleHunter5#0,"""Human (M) Huntew 06"""
HumanMaleHunter6#0,"""Human (M) Huntew 07"""
HumanMaleHunter7#0,"""Human (M) Huntew 08"""
HumanMaleHunter8#0,"""Human (M) Huntew 09"""
HumanMaleHunter9#0,"""Human (M) Huntew 10"""
HumanMaleRanger0#0,"""Human (M) Wangew 01"""
HumanMaleRanger1#0,"""Human (M) Wangew 02"""
HumanMaleRanger2#0,"""Human (M) Wangew 03"""
HumanMaleRanger3#0,"""Human (M) Wangew 04"""
HumanMaleRanger4#0,"""Human (M) Wangew 05"""
HumanMaleRanger5#0,"""Human (M) Wangew 06"""
HumanMaleRanger6#0,"""Human (M) Wangew 07"""
HumanMaleRanger7#0,"""Human (M) Wangew 08"""
HumanMaleRanger8#0,"""Human (M) Wangew 09"""
HumanMaleRanger9#0,"""Human (M) Wangew 10"""
HumanMaleForce0#0,"""Human (M) Fowce 01"""
HumanMaleForce1#0,"""Human (M) Fowce 02"""
HumanMaleForce2#0,"""Human (M) Fowce 03"""
HumanMaleForce3#0,"""Human (M) Fowce 04"""
HumanMaleForce4#0,"""Human (M) Fowce 05"""
HumanMaleForce5#0,"""Human (M) Fowce 06"""
HumanMaleForce6#0,"""Human (M) Fowce 07"""
HumanMaleForce7#0,"""Human (M) Fowce 08"""
HumanMaleForce8#0,"""Human (M) Fowce 09"""
