Name_00000#0,"""Beginnew Stwiking Weapon Lv.1"""
Name_00001#0,"""Beginnew Stwiking Weapon Lv.2"""
Name_00002#0,"""Beginnew Stwiking Weapon Lv.3"""
Name_00003#0,"""Beginnew Stwiking Weapon Lv.4"""
Name_00004#0,"""Beginnew Stwiking Weapon Lv.5"""
Name_00005#0,"""Beginnew Stwiking Weapon Lv.6"""
Name_00006#0,"""Beginnew Stwiking Weapon Lv.7"""
Name_00007#0,"""Beginnew Stwiking Weapon Lv.8"""
Name_00008#0,"""Beginnew Stwiking Weapon Lv.9"""
Name_00009#0,"""Beginnew Stwiking Weapon Lv.10"""
Name_00010#0,"""Beginnew Stwiking Weapon Lv.11"""
Name_00011#0,"""Beginnew Stwiking Weapon Lv.12"""
Name_00012#0,"""Beginnew Stwiking Weapon Lv.13"""
Name_00013#0,"""Beginnew Stwiking Weapon Lv.14"""
Name_00014#0,"""Beginnew Stwiking Weapon Lv.15"""
Name_00015#0,"""Beginnew Stwiking Weapon Lv.16"""
Name_00016#0,"""Beginnew Stwiking Weapon Lv.17"""
Name_00017#0,"""Beginnew Stwiking Weapon Lv.18"""
Name_00018#0,"""Beginnew Stwiking Weapon Lv.19"""
Name_00019#0,"""Beginnew Stwiking Weapon Lv.20"""
Name_00020#0,"""Intewmediate Stwiking Weapon Lv.1"""
Name_00021#0,"""Intewmediate Stwiking Weapon Lv.2"""
Name_00022#0,"""Intewmediate Stwiking Weapon Lv.3"""
Name_00023#0,"""Intewmediate Stwiking Weapon Lv.4"""
Name_00024#0,"""Intewmediate Stwiking Weapon Lv.5"""
Name_00025#0,"""Intewmediate Stwiking Weapon Lv.6"""
Name_00026#0,"""Intewmediate Stwiking Weapon Lv.7"""
Name_00027#0,"""Intewmediate Stwiking Weapon Lv.8"""
Name_00028#0,"""Intewmediate Stwiking Weapon Lv.9"""
Name_00029#0,"""Intewmediate Stwiking Weapon Lv.10"""
Name_00030#0,"""Intewmediate Stwiking Weapon Lv.11"""
Name_00031#0,"""Intewmediate Stwiking Weapon Lv.12"""
Name_00032#0,"""Intewmediate Stwiking Weapon Lv.13"""
Name_00033#0,"""Intewmediate Stwiking Weapon Lv.14"""
Name_00034#0,"""Intewmediate Stwiking Weapon Lv.15"""
Name_00035#0,"""Intewmediate Stwiking Weapon Lv.16"""
Name_00036#0,"""Advanced Stwiking Weapon Lv.1"""
Name_00037#0,"""Advanced Stwiking Weapon Lv.2"""
Name_00038#0,"""Advanced Stwiking Weapon Lv.3"""
Name_00039#0,"""Advanced Stwiking Weapon Lv.4"""
Name_00040#0,"""Advanced Stwiking Weapon Lv.5"""
Name_00041#0,"""Advanced Stwiking Weapon Lv.6"""
Name_00042#0,"""Advanced Stwiking Weapon Lv.7"""
Name_00043#0,"""Advanced Stwiking Weapon Lv.8"""
Name_00044#0,"""Advanced Stwiking Weapon Lv.9"""
Name_00045#0,"""Advanced Stwiking Weapon Lv.10"""
Name_00046#0,"""Advanced Stwiking Weapon Lv.11"""
Name_00047#0,"""Advanced Stwiking Weapon Lv.12"""
Name_00048#0,"""10★ Stwiking Weapon Lv.1"""
Name_00049#0,"""10★ Stwiking Weapon Lv.2"""
Name_00050#0,"""10★ Stwiking Weapon Lv.3"""
Name_00051#0,"""10★ Stwiking Weapon Lv.4"""
