Accessories_Name1#0,"""Accessowy 1"""
Accessories_Name2#0,"""Accessowy 2"""
Accessories_Name3#0,"""Accessowy 3"""
Accessories_Name4#0,"""Accessowy 4"""
Accessories_FormTitle#0,"""Accessowies"""
List_FormTitle#0,"""Accessowy Wist"""
NoAccessoriesMessage#0,"""No accessowies"""
Remove#0,"""Wemuv"""
AccessoryTab_All#0,"""Aww Accessowies"""
AccessoryTab_Hat#0,"""Head (Top)"""
AccessoryTab_Glasses#0,"""Head (Middwe)"""
AccessoryTab_HeadAll#0,"""Head (Accessowy)"""
AccessoryTab_Other#0,"""Othew"""
AccessoryTab_Favorite#0,"""お気に入り"""
Fashion_Title#0,"""Fashion Editing"""
Fashion_Title2#0,"""Fashion Info"""
Fashion_HairStyle#0,"""Haiwstywe"""
Fashion_HeadParts#0,"""Head Pawts"""
Fashion_BodyPaint#0,"""Body Paint Sewection"""
Fashion_Costume#0,"""Costume"""
Fashion_Body#0,"""Body Pawts"""
Fashion_Arm#0,"""Awm Pawts"""
Fashion_Leg#0,"""Weg Pawts"""
Fashion_BaseWear#0,"""Baseweaw Sewection"""
Fashion_InnerWear#0,"""Innewweaw Sewection"""
Fashion_OuterWear#0,"""Outewweaw Sewection"""
Fashion_Acc#0,"""Equip Accessowies"""
Fashion_PaintPriority#0,"""Change Body Paint Pwiowity"""
Fashion_SwordPosition#0,"""Weapon Sheath Wocation"""
Fashion_MoveMotion#0,"""Motion Type"""
Fashion_MyFashion#0,"""My Fashion"""
Item_Motion_Leg#0,"""Wawking"""
Item_Motion_Hover#0,"""Huvw"""
info_title_Hair#0,"""Haiwstywe/Head Pawts"""
info_title_Body#0,"""Body Paint"""
info_title_Costume#0,"""Costume"""
info_title_Parts#0,"""Pawts"""
info_title_Layer#0,"""Wayewing Weaw"""
info_title_Acc#0,"""Accessowies"""
info_Hair#0,"""Head"""
info_Body#0,"""Body"""
info_Arm#0,"""Awm"""
info_Leg#0,"""Weg"""
info_Costume#0,"""Costume"""
info_Outer#0,"""Outew"""
info_Base#0,"""Base"""
info_Inner#0,"""Innew Body"""
info_1#0,"""1"""
info_2#0,"""2"""
info_3#0,"""3"""
info_4#0,"""4"""
Title_HairStyle#0,"""Haiwstywes"""
Title_HeadParts#0,"""Head Pawts"""
Title_BodyPaint#0,"""Body Paint"""
Title_Body#0,"""Bodies"""
Title_Arm#0,"""Awms"""
Title_Leg#0,"""Wegs"""
Title_Costume#0,"""Costumes"""
Title_Outer#0,"""Outewweaw"""
Title_Base#0,"""Baseweaw"""
Title_Inner#0,"""Innewweaw"""
NoMessage#0,"""No items"""
FashionTab_All#0,"""Aww"""
FashionTab_Favorite#0,"""Favowite"""
NoItemMsg#0,"""None"""
NoOuterItemMsg#0,"""No Outewweaw"""
Body_Name1#0,"""Body Paint 1"""
Body_Name2#0,"""Body Paint 2"""
Body_FormTitle#0,"""Body Paint"""
Body_List_FormTitle#0,"""Body Paint"""
NoAccessoriesMessage#1,"""No Body Paint"""
Remove#1,"""Wemuv"""
Favorite_Add#0,"""Add to Favowites"""
Favorite_Delete#0,"""Wemuv Fwom Favowites"""
Body_display_1#0,"""Pwiowity 1"""
Body_display_2#0,"""Pwiowity 2"""
Body_display_3#0,"""Pwiowity 3"""
MoveMotion_1#0,"""Wawking"""
MoveMotion_2#0,"""Huvw"""
Fashion_OtherFashion#0,"""Bookmawk"""
TopMenuTitle#0,"""Fashion Catawog"""
TopMenuItem_Ranking#0,"""View Evewyone's Fashion"""
TopMenuItem_Search#0,"""Seawch Evewyone's Fashion"""
TopMenuItem_Posting#0,"""Wegistew Youw Fashion"""
TopMenuItem_Confirm#0,"""Confiwm Youw Fashion"""
TopMenuItem_ConfirmNiceCnt#0,"""Confiwm Youw Fashion ($(0))"""
TopMenuItem_ConfirmNiceCntStop#0,"""Confiwm Youw Fashion (99+)"""
TopMenuItem_Release#0,"""Withdwaw Wegistwation"""
TopMenuItem_Back#0,"""Wetuwn"""
TitleProfile#0,"""Fashion Infowmation"""
LikeButton#0,"""Wike!"""
RegistButton#0,"""Wegistew Bookmawk"""
BackButton#0,"""Wetuwn"""
