YesText#0,"""Yes"""
NoText#0,"""No"""
EventChronicleTitle1#0,"""Event Chwonicwe"""
EventChronicleTitle2#0,"""Episode Sewection"""
EventChronicleTitle3#0,"""Event Chwonicwe Infowmation"""
OccurrenceCondition#0,"""Conditions"""
Condition#0,"""Pwogwess:"""
PerusalOnly#0,"""Viewed, Wocked"""
Clear#0,"""Unwocked"""
Nonattainment#0,"""Wocked"""
SubScenarioText#0,"""(ESC Button) Sub Scenawio Dispway"""
SubScenarioTextVita#0,"""<pict Sign_TRIANGLE> Sub Scenario Display"""
SubScenario#0,"""Sub Scenawio"""
EventNone#0,"""No achieved events."""
PlayBackTitle#0,"""Pway Event"""
PlayBackMessage#0,"""This will play the selected event.<br>Continue?"""
PlaySkipMessage#0,"""This will skip to the next choice or the end of the event.<br><br>Continue?"""
AllClearMessage#0,"""新たな章「(章のタイトル)」が追加されました。<br>EP(EPの番号)\u3000第(章の番号)章をご確認ください。"""
BrowserTitle#0,"""Wepway Event"""
BrowserMessage#0,"""Events can be played from your browser.<br><br>http://pso2.jp/vita/players/about/movie/"""
Episode_1#0,"""EPISODE 1 Main Events"""
Uncommon1#0,"""EPISODE 1 Sub Events"""
Episode_2#0,"""EPISODE 2 Main Events"""
Uncommon2#0,"""EPISODE 2 Sub Events"""
Episode_3#0,"""EPISODE 3 Main Events"""
Uncommon3#0,"""EPISODE 3 Sub Events"""
Etc#0,"""Othew"""
Chapter_0#0,"""Intwo"""
Chapter_1#0,"""CH 1"""
Chapter_2#0,"""CH 2"""
Chapter_3#0,"""CH 3"""
Chapter_4#0,"""CH 4"""
Chapter_5#0,"""CH 5"""
Chapter_6#0,"""CH 6"""
Chapter_7#0,"""CH 7"""
Chapter_8#0,"""CH 8"""
Chapter_9#0,"""CH 9"""
Chapter_10#0,"""CH 10"""
Chapter_EX#0,"""EX CH1"""
Chapter_EX2#0,"""EX CH2"""
Chapter_EX3#0,"""EX CH3"""
Chapter_EX4#0,"""EX CH4"""
Etc_Ep1#0,"""EP1"""
Etc_Ep2#0,"""EP2"""
Etc_Ep3#0,"""EP3"""
Etc_Ep4#0,"""EP4"""
Etc_Ep5#0,"""EP5"""
