ErrorMember#0,"""$(0) is not a membew of this team."""
ErrorNotExist#0,"""Specified Team does not exist."""
Role#0,"""Position"""
RankName#0,"""Wank"""
Flag#0,"""Team Fwag"""
Select#0,"""Sewect"""
Update#0,"""Wefwesh"""
CountTimes#0,"""$(0) time(s)"""
CountPeople#0,"""$(0) peopwe"""
CountItem#0,"""$(0)"""
CountRank#0,"""Cuwwent: $(0)"""
CountGP#0,"""$(0) TP"""
GuildName#0,"""Team name"""
PlayerName#0,"""Pwayew ID Name"""
Preview#0,"""Pweview"""
OtherMember#0,"""This option is only available to <br>Team Members.<br>"""
Determine#0,"""Accept changes"""
Close#0,"""Cancew changes"""
AccessorySelect#0,"""Accessowy Sewection"""
SetAccessoryColor#0,"""Accessowy Cowow"""
WindowChange#0,"""<pict Sign_TRIANGLE>Switch"""
CloseTitle#0,"""Exit Confiwmation"""
CloseConfirm#0,"""This will exit without saving changes.<br>Are you sure?"""
1#0,"""Team Cwoak"""
2#0,"""Team Bewet"""
3#0,"""Team Scawf"""
TimeOut#0,"""2 weeks have elapsed.<br>$(0)'s recruitment offer has been withdrawn."""
AcceptOther#0,"""$(0) bewongs to anothew team."""
GuildDelete#0,"""Team was disbanded, so aww wecwuitment offews wewe withdwawn."""
Reject#0,"""$(0) has wefused youw wecwuitment offew."""
Accept#0,"""$(0) has joined $(1)."""
Scout#0,"""Wecwuiting（$(0)）"""
Online#0,"""Onwine"""
Offline#0,"""Offwine"""
Sort1#0,"""Join Date"""
Sort2#0,"""Wank"""
Sort3#0,"""Pwayew ID Name Owdew"""
Sort4#0,"""Chawactew Owdew"""
Sort5#0,"""Wecwuitment Owdew"""
Subject1#0,"""Chawactew Name / Pwayew ID Name"""
Subject2#0,"""Position"""
Subject3#0,"""Bwock / Wocation"""
Subject4#0,"""Wogin Status"""
Subject1_Vita#0,"""Pwayew ID Name"""
Subject2_Vita#0,"""Chawactew Name"""
Subject3_Vita#0,"""Bwock"""
Subject4_Vita#0,"""Wocation"""
OfflineEmpty#0,"""No membews offwine."""
ScoutEmpty#0,"""No membews to scout"""
NoLogin#0,"""<c a0a0a0>Has not logged in for a long time.<c>"""
Subject1#1,"""Pwayew ID Name"""
Subject2#1,"""Joined"""
Empty#0,"""No Histowy"""
Title#0,"""Team Command fow $(0)"""
MemberList#0,"""Team Membew Wist"""
ScoutReply#0,"""Wecwuitment"""
Status#0,"""Team Status"""
PersonalStatus#0,"""Individuaw Team Status"""
Leave#0,"""Wesign"""
EquipAcc#0,"""Equip Team Accessowy"""
Public#0,"""Pubwic Status"""
Private#0,"""Pwivate Status"""
MemberCount#0,"""Membew Count"""
ManagerCount#0,"""Managew Count"""
TrophyCount#0,"""# of AWKS Twophies"""
Initiation#0,"""Date Cweated"""
Level#0,"""Team Wevew"""
Web#0,"""Team Website"""
RoomDesign#0,"""Woom Design"""
RoomRental#0,"""Woom Wentaw"""
PointRank#0,"""Team Points Wanking"""
RareItemRank#0,"""Wawe Items Wedeem Wanking"""
Point#0,"""Cuwwent Team Points"""
TotalPoint#0,"""Acquiwed Team Points"""
MyPoint#0,"""Team Points Acquiwed This Week"""
MyEnablePoint#0,"""Youw Max Team Points This Week"""
MyTotalPoint#0,"""Youw Acquiwed Team Points"""
NoRoom#0,"""None"""
NoRankEntry#0,"""-"""
Login1#0,"""Team Wogin Message"""
PublicInfo#0,"""Pubwic Infowmation"""
PrivateInfo#0,"""Pwivate Infowmation"""
EquipAccTitle#0,"""Equip Team Accessowy"""
EquipAccYes#0,"""Equip Team Accessowy"""
