MenuTitle#0,"""Twade Shop"""
MenuTitleCq01#0,"""CM Exchange Shop 1"""
MenuTitleCq02#0,"""CM Exchange Shop 2"""
MenuTitle_jene#0,"""Wimited Exchange Shop (~June 7, 2017, 11:00 JST)"""
MenuTitle_serafi#0,"""Wimited Exchange Shop (~June 8, 2016, 11:00 JST)"""
MenuTitle_anet#0,"""期間限定交換ショップ（～2017年1月11日11時00分)"""
MenuTitleSea#0,"""5th Anniv. Exchange Shop - Fiwst Hawf (Untiw Aug 9th, 11:00 JST)"""
MenuTitleSea1#0,"""New Yeaw 2018 Shop - Fiwst Hawf (~Feb 7, 2018, 11:00 JST)"""
MenuTitle_FG#0,"""Wimited Exchange Shop (Untiw Dec. 7, 2016 at 11:00 JST)"""
MenuTitle_es1#0,"""Wimited Exchange Shop (~Untiw Oct. 25, 11:00 JST)"""
MenuTitle_es2#0,"""Wimited Exchange Shop （Untiw Dec. 20, 11:00 JST)"""
MenuTitle_es3#0,"""Wimited Exchange Shop （Untiw June. 6, 11:00 JST))"""
MenuTitle_den1#0,"""Wimited Exchange Shop （Untiw Dec. 6, 11:00 JST)"""
MenuGuide#0,"""<c f0df60>The items in the list can be traded for the selected item.<c>"""
ButtonChange#0,"""Exchange"""
SuccessMessage#0,"""Twade successfuw."""
FailedMessage#0,"""Failed to trade.<br><br>Error code [2100]"""
FailedMessage2#0,"""Insufficient twade items."""
FailedMessage3#0,"""Exchange failed. Would exceed<br>item stack limit, or your inventory<br>is full."""
TitleChange#0,"""Exchange Confiwmation"""
ChangeCheck#0,"""Are you sure you want to trade<br>the following items?"""
TicketName#0,"""$(0)×$(2) (Cuwwentwy have: $(1))"""
CancelTitle#0,"""Cancewwed Twade"""
CancelMessage#0,"""This will cancel the exchange.<br>Continue?"""
HaveTicket#0,"""In possession"""
TotalTicket#0,"""Totaw"""
SwapItemTitle#0,"""Exchange Items"""
ItemNone#0,"""None"""
ChangeCheckVita#0,"""Are you sure you want to trade<br>the following items?"""
MenuGuideVita#0,"""交換情報"""
TitleVita#0,"""Goods Wist"""
ItemNum#0,"""（$(0)）"""
SelectItemVita#0,"""交換個数選択"""
SelectItemInputVita#0,"""Pwease entew an amount."""
PluralityMenuGuide#0,"""<c f0df60>Please select a shop.<c>"""
Warehouse#0,"""Open Stowage"""
MenuTitle#1,"""Wentaw Expiwation"""
MenuGuide#1,"""-"""
RestTitle#0,"""Expiwation"""
RestTimeTitle#0,"""Aftew """
RestMonth#0,"""$(0) months """
RestDay#0,"""$(0) days """
RestTime#0,"""$(0) houws """
RestMinits#0,"""$(0) minutes """
RestSec#0,"""$(0) seconds"""
TimeOver#0,"""Expiwed"""
ITEM00#0,"""Pwemium Set"""
ITEM01#0,"""Twade Wicense"""
ITEM02#0,"""My Woom Wicense"""
ITEM03#0,"""Shop Wicense"""
ITEM04#0,"""ITEM04"""
ITEM05#0,"""ITEM05"""
ITEM06#0,"""Owdew Wimit Exp."""
