YesText#0,"""Yes"""
NoText#0,"""No"""
CloseText#0,"""Cwose"""
OpenText#0,"""Open"""
MaxText#0,"""Max"""
MinText#0,"""Min"""
Sort#0,"""Sowt"""
Copy#0,"""Copy"""
Peaste#0,"""Paste"""
NextText#0,"""Next"""
PrevText#0,"""Pwevious"""
DecideText#0,"""Confiwm"""
CancelText#0,"""Cancew"""
OKText#0,"""OK"""
ReturnText#0,"""Wetuwn"""
TitleText#0,"""Message"""
CheckText#0,"""Do not show this window again."""
NoneText#0,"""None"""
Preview#0,"""Pweview"""
Skip#0,"""Are you sure you want to skip to the <br>end of the scene or the next choice?"""
SkipMovie#0,"""This will exit video playback.<br><br>Do you want to continue?"""
SymbolArt_BANtext#0,"""The symbow awt cannot be saved."""
BlockBurstIntoNG#0,"""You wewe unabwe to join the pawty because of changes to that pawty's status."""
TimeText#0,"""$(0):$(1):$(2)"""
NumItem#0,"""$(0) x$(1)"""
NumItem2#0,"""$(0) x$(1)"""
Bracket#0,"""（$(0)）"""
SquareBracket#0,"""[$(0)]"""
ErrorResetAmCoinWithoutWarning#0,"""Cannot twansfew Casino Coins because they exceed the maximum wimit."""
Ranking#0,"""$(3) $(2) Wanking: $(1) $(0)"""
RankingVita#0,"""$(3) $(2) Wanking: $(1) $(0) Shawed Bwock"""
SkipNaviKey#0,"""Use <yellow>[Esc] Key<c> to Skip"""
SkipNaviButton#0,"""Use <yellow><c><%AllWindowClose><yellow> Button<c> to Skip"""
MainMenu_CharacterInfo#0,"""Chawactew Info"""
MainMenu_Palette#0,"""Customize Pawette"""
MainMenu_Inventory#0,"""Inventowy"""
MainMenu_Party#0,"""Pawty"""
MainMenu_FriendList#0,"""Fwiend Wist"""
MainMenu_Mail#0,"""Maiw"""
MainMenu_Macro#0,"""Set Autowowds"""
MainMenu_LogWindow#0,"""Log Window"""
MainMenu_AreaMap#0,"""Awea Map"""
MainMenu_KeyboardHelp#0,"""Keyboawd Hewp"""
MainMenu_Config#0,"""Options"""
MainMenu_Logout#0,"""Log Out"""
MainMenu_PlayerList#0,"""Neawby Chawactews"""
MainMenu_Library#0,"""Wibwawy"""
MainMenu_QuestInfo#0,"""Quest Infowmation"""
MainMenu_Equip#0,"""Equip"""
MainMenu_ClientOrder#0,"""Cwient Owdews"""
MainMenu_MatterBoard#0,"""Mattew Boawd"""
MainMenu_MugMenu#0,"""Mag Menu"""
MainMenu_CommHistory#0,"""Communication Histowy"""
MainMenu_ItemTreasure#0,"""Tweasuwes"""
MainMenu_CharacterStatus#0,"""Cuwwent status"""
MainMenu_Equip_note#0,"""Cowwection Fiwe"""
MainMenu_simple_gat_status#0,"""/"""
MainMenu_Item_Item#0,"""Items"""
MainMenu_Item_Castom#0,"""Customize"""
MainMenu_Item_Mug#0,"""Mag"""
MainMenu_Item_Pet#0,"""Pet"""
MainMenu_Equip_Weapon#0,"""Equip Weapons"""
MainMenu_Equip_Guard#0,"""Awmows"""
MainMenu_Equip_Accessories#0,"""Equip Accessowies"""
MainMenu_Equip_FashionGroup#0,"""Fashion / Catawog"""
MainMenu_Equip_Fashion#0,"""Fashion Editing"""
MainMenu_Equip_FashionCat#0,"""Fashion Catawog"""
MainMenu_Equip_PolluteEdit#0,"""Dawk Bwast"""
MainMenu_Equip_Subpalette#0,"""Edit Subpawettes"""
MainMenu_Community_Friend#0,"""Fwiend Wist"""
MainMenu_Community_Team#0,"""Team Commands"""
MainMenu_Community_Party#0,"""Pawty Commands"""
MainMenu_Community_Mail#0,"""Maiw"""
MainMenu_Community_Chara#0,"""Neawby Chawactews"""
MainMenu_MyData_CharaInfo#0,"""Chawactew Info"""
MainMenu_MyData_GatInfo#0,"""Gathewing Info"""
MainMenu_MyData_ContentInfo#0,"""Content Infowmation"""
MainMenu_MyData_License#0,"""Titwe Wist"""
MainMenu_MyData_CraftAchievement#0,"""Cwafting Achievements"""
MainMenu_MyData_MyMenu#0,"""Quick Menu"""
MainMenu_MyData_History#0,"""Communication Histowy"""
MainMenu_MyData_TitleAndCard#0,"""Titwe / AWKS Cawd"""
MainMenu_MyData_Profile#0,"""Edit AWKS Cawd"""
MainMenu_MyData_Profile_v#0,"""Edit AWKS Cawd"""
MainMenu_Quest_StoryBoard#0,"""Stowy Boawd"""
MainMenu_Quest_MatterBoard#0,"""Mattew Boawd"""
MainMenu_Quest_ArksRoad#0,"""AWKS Woad"""
MainMenu_Quest_ClientOrder#0,"""Cwient Owdews"""
MainMenu_Quest_BingoCard#0,"""AWKS Bingo Cawd"""
MainMenu_Quest_OpenEvent#0,"""Event Info"""
MainMenu_Quest_ShipBattle#0,"""Competition"""
MainMenu_Quest_QuestInfo#0,"""Quest Infowmation"""
MainMenu_Quest_MapChange#0,"""Change Map"""
MainMenu_Quest_EventItem#0,"""Event Items"""
MainMenu_System_SimbolArt#0,"""Symbow Alts"""
MainMenu_System_ChatConfig#0,"""Chat Settings"""
MainMenu_System_Option#0,"""Options"""
MainMenu_System_LogWindow#0,"""Log Window"""
MainMenu_System_GameHelp#0,"""In-Game Hewp"""
MainMenu_System_OnlineHelp#0,"""Onwine Hewp"""
MainMenu_System_Information#0,"""Infowmation"""
MainMenu_System_Notify#0,"""Announcement"""
MainMenu_System_LoginStamp#0,"""Wogin Stamps"""
MainMenu_System_StarGem#0,"""Staw Gem Items"""
MainMenu_ACMenu_ACShop#0,"""AC Shop <pict Arcscash>"""
MainMenu_ACMenu_Gacha#0,"""Scratch Drawings <pict Arcscash>"""
MainMenu_ACMenu_Recycle#0,"""Wecycwe Shop"""
MainMenu_ACMenu_MagicStone#0,"""Purchase Star Gems <pict Arcscash>"""
MainMenu_ACMenu_HistoryRental#0,"""Puwchase Histowy/Expiwations"""
MainMenu_ACMenu_History#0,"""Puwchase Histowy"""
MainMenu_ACMenu_Rental#0,"""Wentaw Expiwation"""
MainMenu_Logout_Logout#0,"""Log Out"""
MainMenuCategory_ItemPack#0,"""Inventowy"""
MainMenuCategory_Equip#0,"""Open Equipment"""
MainMenuCategory_MyData#0,"""My Data"""
MainMenuCategory_Mug#0,"""Mag"""
MainMenuCategory_Community#0,"""Community"""
MainMenuCategory_Quest#0,"""Quest"""
MainMenuCategory_System#0,"""System"""
MainMenuCategory_Shop#0,"""AC Menu"""
MainMenuCategory_Logout#0,"""Log Out"""
MainMenu_Title#0,"""Main Menu"""
MainMenu_MainCommand#0,"""Main Commands"""
MainMenu_Notify#0,"""New Items"""
MainMenu_Shortcut#0,"""Showtcuts"""
MainMenu_Notify_KeyHelp#0,"""Go to notifications using <%NextWidget>"""
MainMenu_Notify_KeyHelp_vita#0,"""<pict Sign_TRIANGLE>で新着エリアへ"""
MainMenu_Notify_KeyHelp_Disable#0,"""New awea is cuwwentwy unavaiwabwe."""
MainMenu_Community_NewArrival#0,"""$(0) （$(1)）"""
MainMenu_Recycle_NoEnter#0,"""Cannot use duwing a quest."""
MainMenu_Recycle_NoEnterTitle#0,"""Wecycwe Shop"""
WeaponPosition#0,"""Weapon Sheath Wocation"""
RedPivot#0,"""Howizontaw (Vewticaw) Adjustment"""
GreenPivot#0,"""Vewticaw (Howizontaw) Adjustment"""
BluaPivot#0,"""Depth Adjustment"""
Error_NotSetting#0,"""You cannot adjust the position<br>of the selected accessory."""
StarGemMessage#0,"""Purchased / $(0) SG<br>Free / $(1) SG<br><br>※Free SG will be consumed first."""
MainMenu_ACMenu_SGShop#0,"""Star Gem Shop <pict StarGem>"""
Confirm_Title#0,"""Ship Twansfew Confiwmation"""
Confirm_Message#0,"""The following conditions will take effect<br>while in a shared ship battle block.<br>  ・[Battle Warrior] class only<br>  ・PAs, techniques, class skills unlearned<br>  ・No Meseta, CC or on-hand items allowed<br>  ・Usage of storage, rooms and team rooms not allowed<br>  ・Emergency quest notifications are hidden<br>  ・Dedicated friend list, mail and symbol art<br>  ・Friendship gauge hidden<br><red>※All conditions will return to normal upon leaving the shared ship.<c><br><red>※NetCafe Premium effect Additional Team Points not applied.<c><br><red>※Your character may appear in live<br>broadcasts.<c><br><br>Go to shared ship battle lobby?"""
Confirm_Title_InBlock#0,"""Bwock Twansfew Confiwmation"""
Confirm_Message_InBlock#0,"""You are about to transfer to a battle block.<br>The following conditions will take effect:<br><br>  ・[Battle Warrior] class only<br>  ・PAs, techniques, class skills unlearned<br>  ・No Meseta, CC or on-hand items allowed<br>  ・Usage of storages not allowed<br>  ・My room and team room not allowed<br>  ・Emergency quest notifications are hidden<br>  ・Dedicated friend list, mail and symbol art<br>  ・Friendship gauge hidden<br><br><red>※All conditions will return to normal upon<br>leaving the shared ship.<c><br><br>Go to shared battle lobby?"""
Confirm_Title_InNormal#0,"""Ship twansfew confiwmation"""
Confirm_Message_InNormal#0,"""When you return to your ship, please note<br>that friend requests, mails and symbol arts<br>will not be transferred.<br><br>※You can return to Shared Ship afterwards.<br><br>※Returning to your ship will be listed in<br>your \""Login History\"".<br><br>Return to your ship?"""
ShopTitleText#0,"""Battwe Coin Exchange"""
ShopGuideText#0,"""<c f0df60>You can exchange Battle Coins for items.<c>"""
ShopListTitle#0,"""Shop Menu"""
PluralityMenuGuide#0,"""<c f0df60>Please select a shop.<c>"""
Exit#0,"""Weave Shop"""
Buy#0,"""Buy"""
NameNumber#0,"""$(0) x$(1)"""
BuyTitle#0,"""Puwchase Confiwmation"""
BuyCheck#0,"""These items will cost $(1) $(0).<br>Continue with purchase?"""
CPDenomination#0,"""Battwe Coins"""
BuyResultMessage1#0,"""Puwchase compwete."""
BuyErrorMessage2#0,"""You lack free space in your inventory,<br> or you have too many of the items you are buying.<br>Purchase could not be completed."""
CPInsufficient#0,"""Insufficient Battwe Coins."""
BuyResultMessage2#0,"""Unabwe to compwete youw puwchase."""
BuyResultTitle#0,"""Item Puwchase"""
CancelTitle#0,"""Confiwm Puwchase Cancewwation"""
CancelMessage#0,"""This wiww cancew the puwchase. Continue?"""
SelectItemInputVita#0,"""Pwease entew an amount."""
MenuErrorTitle#0,"""Message"""
MenuErrorMessage#0,"""[Battle Coin Exchange 2] <br><yellow>will become available once<br>the quest has been cleared.<c><br><br>You cannot access this shop<br>because the quest has not been cleared yet."""
PokaQuest_SummaryName#0,"""Battwe Awena"""
PokaRanking_Title#0,"""Battwe Wanking Wewawds"""
PokaRanking_RewardConfirm#0,"""You have received the following items<br>as your battle ranking reward."""
PokaRanking_Date#0,"""Date and Time"""
PokaRanking_Caption#0,"""$(1) [$(0)] Wewawd"""
PokaRanking_Rule_BattleRoyal#0,"""Battwe Woyaw"""
PokaRanking_Rule_BattleCrystal#0,"""Embwem Competition"""
PokaRanking_Rule_BattleRoyal_Switch#0,"""バトルロイヤル(クラウド版)"""
PokaRanking_Rule_BattleCrystal_Switch#0,"""エンブレム争奪戦(クラウド版)"""
