Title#0,"""Extweme Tewminaw"""
TerminalTitle#0,"""Extweme Tewminaw Infowmation"""
TerminalList1#0,"""Stage Infowmation"""
TerminalList2#0,"""Viwtuaw Item Stowage"""
AcceptPoolItem#0,"""Cowwect Viwtuaw Items"""
AcceptText#0,"""Accept"""
ReturnText#0,"""Wetuwn"""
CheckPoolItem#0,"""Deposit Viwtuaw Items"""
PossibleNumber#0,"""Acceptabwe Quantity"""
TotalPoolItem#0,"""Totaw Viwtuaw Items"""
ItemDetails#0,"""Item detaiws"""
AcceptItemList#0,"""Item Wist"""
AcceptNum#0,"""$(0)/$(1)"""
TotalNum#0,"""$(0)"""
AcceptConfirmTitle#0,"""Cowwect Viwtuaw Items"""
AcceptYesNo#0,"""Accepting virtual items.<br>Continue?<br>"""
AcceptErrTitle#0,"""Cowwect Viwtuaw Items"""
AcceptErr#0,"""Cannot select additional items as<br>it exceeds the number you can accept."""
ItemPackErr#0,"""Your item pack is full.<br>Cannot accept items."""
RecieveErrTitle#0,"""Communication Ewwow"""
RecieveErr#0,"""通信エラーが発生しました。<br>受け取ることができませんでした。"""
AcceptAble#0,"""Acceptabwe"""
AcceptSuccessTitle#0,"""Cowwect Viwtuaw Items"""
AcceptSuccess#0,"""Accepted sewected items."""
AcceptMaxOver#0,"""Cannot accept additionaw items."""
NoItemMessage#0,"""No viwtuaw items"""
TypeA#0,"""Extweme Tewminaw"""
TypeA_Help#0,"""<c f0df60>You can view stage information and view/accept virtual items (only after the quest is cleared).<c>"""
TypeB#0,"""Stage Infowmation"""
TypeB_Help#0,"""<c f0df60>You can view information on each stage.<c>"""
TypeC#0,"""Cowwect Viwtuaw Items"""
TypeC_Help#0,"""<c f0df60>You can view the current pool of virtual items. Items can be collected only after the quest has been cleared.<c>"""
EntryEnemy#0,"""Enemy Appeawance"""
EnemyCondition#0,"""Change Enemy Abiwities"""
FloorOrder#0,"""Stage Owdew"""
AbilityUpSmall#0,"""Abiwity Boost (S)"""
AbilityUpMiddle#0,"""Abiwity Boost (M)"""
AbilityUpLarge#0,"""Abiwity Boost (W)"""
AbilityUpExtraBig#0,"""Abiwity Boost (XW)"""
WeaponResistance#0,"""Wesistance (Equipment)"""
TechniqueResistance#0,"""Wesistance (Ewement)"""
WeaponResistanceDown#0,"""Weakness (Equipment)"""
TechniqueResistanceDown#0,"""Weakness (Ewement)"""
HP#0,"""HP"""
Attack#0,"""ATK"""
Defence#0,"""DEF"""
HitResistance#0,"""Stwike wesistance"""
ShootResistance#0,"""Wanged wesistance"""
TecResistance#0,"""Technique wesistance"""
AllResistance#0,"""Aww wesistance"""
InvalidAbnomalState#0,"""No status effects"""
FloorNumber1#0,"""Stage 1"""
FloorNumber2#0,"""Stage 2"""
FloorNumber3#0,"""Stage 3"""
FloorNumber4#0,"""Stage 4"""
FloorNumber5#0,"""Stage 5"""
FloorNumberTab#0,"""$(0)"""
FloorNumberIndex#0,"""Stage $(0)"""
MessageNo#0,"""None"""
MessageYes#0,"""Yes"""
Other#0,"""Othew"""
HitStatus#0,"""Stwiking damage"""
ShootStatus#0,"""Wanged damage"""
TecStatus#0,"""Technique damage"""
AllStatus#0,"""Aww"""
FloorOrderToast#0,"""Pwevious Stage Owdew cweawed; enemy wesistances wowewed."""
AppendMark#0,""", """
TitleEnemyDestroy#0,""" - defeat $(0)"""
TitleDamageNum#0,""" - infwict $(0) ow mowe damage $(1) ow mowe times!"""
TitlePartDamageNum#0,""" - destwoy $(0) enemy pawts!"""
TitleNoDamage#0,"""Take no damage fow $(0) seconds!"""
TitleNoRecover#0,"""Do not heaw fow $(0) seconds!"""
TitleNoDead#0,"""Do not be incapacitated $(0) ow mowe times!"""
SubTitleSecond#0,"""Within $(0) seconds: """
SubTitleSecondRecover#0,"""Without heawing fow $(0) seconds """
SubTitleWeakPoint#0,"""Stwike its weak point! """
SubTitleForward#0,"""Wand the finaw bwow fwom the fwont! """
SubTitleBack#0,"""Wand the finaw bwow fwom behind! """
SubTitleEnemy#0,"""Any enemy"""
SubTitleState#0,"""Ewiminate the one with the status effect! """
