Title#0,"""AWKS Twaining Centew"""
MenuType_Next#0,"""Pwoceed To $(0)"""
MenuType_Next_None#0,"""No Fuwthew Twaining"""
MenuType_Retry#0,"""Wetwy Twaining"""
MenuType_Back#0,"""Wetuwn to the Gate Awea"""
TerminalMenuType_Reset#0,"""Stawt $(0) uvw"""
TerminalMenuType_Close#0,"""Cwose Tewminaw"""
TerminalResetConfirmTitle#0,"""Wetwy Tewminaw"""
TerminalResetConfirmMessage#0,"""Wetwy $(0)?"""
TerminalResetConfirmTitle2#0,"""Wetwy Tewminaw"""
Title#1,"""Quest Wesuwts"""
QuestResultTitle#0,"""Quest Wesuwts"""
ItemResultTitle#0,"""Item Wesuwts"""
RankResultTitle#0,"""-"""
EquipNoteResultTitle#0,"""Cowwection Sheet Wesuwts"""
BeforeQuestResultTitle#0,"""Pwevious Quest Wesuwts"""
BeforeItemResultTitle#0,"""Pwevious Item Wesuwts"""
BeforeRankResultTitle#0,"""-"""
BeforeEquipNoteResultTitle#0,"""Pwevious Sheet Wesuwts"""
ChallengeResultTitle#0,"""Chawwenge Wesuwt"""
End#0,"""Cwose"""
ItemResultElement1#0,"""Meseta Weceived"""
ItemResultElement2#0,"""EXP Weceived"""
ItemResultElement3#0,"""FUN Weceived"""
ItemResultElement4#0,"""Acquiwed Chawwenge Miwes"""
ItemResultUnit1#0,"""Mst"""
ItemResultUnit2#0,"""EXP"""
ItemResultUnit3#0,""" FUN"""
ItemResultUnit4#0,"""CM"""
ItemGet#0,"""Item Weceived"""
QuestResultElement1#0,"""Enemy Defeat Wanking"""
QuestResultElement2#0,"""Tawget Damage"""
QuestResultElement3#0,"""Incapacitations"""
QuestResultElement4#0,"""Incapacitation Wevivaws"""
QuestResultElement5#0,"""Cweaw Time"""
QuestResultElement6#0,"""Time Wemaining"""
QuestResultElement7#0,"""Quest Points"""
QuestResultElement8#0,"""Wemaining Base Heawth"""
QuestResultElement9#0,"""EQ Twiaw Successes"""
QuestResultElement11#0,"""AIS Boawdings"""
QuestResultQuestFlag#0,"""Compweted Quests"""
QuestResultElement12#0,"""Cuwwent scowe"""
QuestResultElement13#0,"""Quest pawticipation wate"""
QuestResultElement14#0,"""Widewoids Shot Down"""
QuestResultElement15#0,"""クエスト進行度"""
QuestResultUnit1#0,"""体"""
EquipNoteResultElement1#0,"""Pwogwessed Sheets (Top 5)"""
EquipNoteResultProgress#0,"""Wequiwed Items and Pwogwess fow $(0)"""
EquipNoteResultOther#0,"""<yellow>※There are other items with increased rates of progress.<c>"""
EquipNoteResultPercent#0,"""$(1).$(0)%"""
PointValue#0,"""$(0)pt"""
Score#0,"""Scowe"""
Perfect#0,"""★ PEWFECT"""
TotalResult#0,"""Totaw Wanking"""
ErrandResultTitle#0,"""お手伝いしたオーダーの結果"""
ErrandOrderTitle#0,"""Hewping with Owdew"""
ChallengeResultTitle1#0,"""Basic Wesuwts"""
ChallengeResultTitle2#0,"""Eawned Chawwenge Miwes"""
ChallengeResultTitle3#0,"""Eawned Achievements"""
ChallengeResultTitle4#0,"""Chawwenge Pawticipation"""
ChallengeResultTitle5#0,"""Eawned Chawwenge Miwes (Boost Points +$(0))"""
ChallengeResultTitle6#0,"""Chawwenge Cweaw"""
