SelectMenuType_CommunicationMenu1#0,"""Use Showtcut Wowd"""
SelectMenuType_CommunicationMenu2#0,"""Pewfowm Wobby Action"""
SelectMenuType_CommunicationMenu3#0,"""Change Chawactew Ovewhead Dispway"""
SelectMenuType_CommunicationMenu4#0,"""Change Onwine Status"""
SelectMenuType_CommunicationMenu5#0,"""Showt Log dispway ON/OFF"""
SelectMenuType_CommunicationMenu6#0,"""Pawty Makew Instawwation/Wemovaw"""
SelectMenuType_CommunicationMenu7#0,"""Change Fwiend Message"""
SelectMenuType_CommunicationMenu8#0,"""Neawby Chawactews"""
SelectMenuType_CommunicationMenu9#0,"""Fwiend Wist"""
SelectMenuType_CommunicationMenu10#0,"""Team Commands"""
SelectMenuType_CommunicationMenu11#0,"""Maiw"""
SelectMenuType_CommunicationMenu12#0,"""Communication Histowy"""
SelectMenuType_CommunicationMenu13#0,"""Symbow Alts"""
VITA_SelectMenuType_ExecuteMenu1#0,"""視点設定変更"""
SelectMenuType_Execute_Camera#0,"""Camewa Sewect"""
SelectMenuType_Execute_CameraLight#0,"""Camewa / Wight Sewection"""
SelectMenuType_ExecuteMenu1#0,"""Take Scweenshot"""
SelectMenuType_ExecuteMenu2#0,"""Go to My Woom"""
SelectMenuType_ExecuteMenu3#0,"""Go to Youw Team Woom"""
SelectMenuType_ExecuteMenu4#0,"""Go to Youw Ship"""
SelectMenuType_ExecuteMenu5#0,"""Go to Shawed Ship"""
SelectMenuType_ExecuteMenu6#0,"""Go to Bwidge"""
SelectMenuType_ExecuteMenu7#0,"""Go to Beauty Sawon"""
SelectMenuType_ExecuteMenu8#0,"""Go to Fwanka's Cafe"""
SelectMenuType_ExecuteMenu9#0,"""Hide UI"""
SelectMenuType_QuestMenu1#0,"""Command Pawtnew Stwategy"""
SelectMenuType_QuestMenu2#0,"""Switch Wadaw Map Dispway"""
SelectMenuType_QuestMenu3#0,"""Show/Hide Awea Map"""
SelectMenuType_QuestMenu4#0,"""Pawty Commands"""
SelectMenuType_QuestMenu5#0,"""Cwient Owdews"""
SelectMenuType_QuestMenu6#0,"""AWKS Woad"""
SelectMenuType_QuestMenu7#0,"""Event Info"""
SelectMenuType_ItemMenu1#0,"""Weapons"""
SelectMenuType_ItemMenu2#0,"""Awmows"""
SelectMenuType_ItemMenu3#0,"""Fashion Editing"""
SelectMenuType_ItemMenu4#0,"""Edit Subpawettes"""
SelectMenuType_ItemMenu5#0,"""Items"""
SelectMenuType_ItemMenu6#0,"""Custom"""
SelectMenuType_ItemMenu7#0,"""Mag"""
SelectMenuType_ItemMenu8#0,"""Wecycwe Shop"""
SelectMenuType_ItemMenu9#0,"""Pet"""
SelectMenuType_MyData1#0,"""Chawactew Info"""
SelectMenuType_MyData2#0,"""Titwe Wist"""
SelectMenuType_MyData3#0,"""Edit AWKS Cawd"""
SelectMenuType_ShareShip1#0,"""Chawwenge Wobby"""
SelectMenuType_ShareShip2#0,"""Battwe Wobby"""
MapCommand_Item2_1#0,"""Hide Awea Map"""
MapCommand_Item2_2#0,"""Show Awea Map"""
UserCommand_Item1#0,"""Change Chawactew Ovewhead Dispway"""
UserCommand_Item2#0,"""Change Onwine Status"""
UserCommand_Item4#0,"""Change Camewa Distance"""
OverheadDisplay_NoSENID#0,"""PC Usew"""
OverheadDisplay_Item1#0,"""No Dispway"""
OverheadDisplay_Item2#0,"""Chawactew Name"""
OverheadDisplay_Item3#0,"""Cwass Wevew/Chawactew Name"""
OverheadDisplay_Item4#0,"""PSN Onwine ID/Pwayew ID Name"""
OverheadDisplay_Item5#0,"""Pwayew ID Name"""
OverheadDisplay_Item6#0,"""Pwayew ID Name/Chawactew Name"""
OverheadDisplay_Item7#0,"""Pwayew ID"""
OverheadDisplay_Item8#0,"""Chawactew Name/HP Baw (Quest onwy)"""
OverheadDisplay_Item9#0,"""Set Titwe/Chawactew Name"""
OverheadDisplay_Item10#0,"""Team Name/Team Wank"""
OverheadDisplay_Item11#0,"""Team Name/Chawactew Name"""
OverheadDisplay_Item12#0,"""Chawactew Name (Except Youws)"""
OverheadDisplay_Item13#0,"""Chawactew /HP・PP Baw (In quest)"""
Camera_Item1#0,"""Cwose to Chawactew"""
Camera_Item2#0,"""Away fwom Chawactew"""
TagName#0,""": $(0)"""
TitleNon#0,"""No Titwe"""
GuildNon#0,"""No Team"""
OverheadDisplay_Item14#0,"""Ship Name/Chawactew Name"""
